;YEAR;MONTH;DAY;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
1499;2016;08;25;37917.09722222222;38038.59722222222;38574.680555555555;38800.291666666664
1560;2016;08;26;37615.15277777778;37678.63888888889;38265.444444444445;38351.02777777778
1621;2016;08;27;35963.958333333336;36091.65277777778;36703.88888888889;36888.73611111111
1682;2016;08;28;35375.291666666664;35519.708333333336;36111.88888888889;36374.15277777778
1739;2016;08;29;37326.555555555555;37449.26388888889;37949.48611111111;38157.65277777778
1794;2016;08;30;37342.444444444445;37409.65277777778;38014.90277777778;38076.958333333336
1839;2016;08;31;37282.34722222222;37312.34722222222;37753.59722222222;37945.88888888889
40;2016;09;01;36810.416666666664;37010.27777777778;37177.26388888889;37487.01388888889
101;2016;09;02;36945.625;36964.88888888889;37284.916666666664;37439.65277777778
162;2016;09;03;35811.23611111111;35796.305555555555;36354.333333333336;36331.944444444445
223;2016;09;04;35421.0;35335.916666666664;36152.26388888889;35964.166666666664
284;2016;09;05;37244.15277777778;37290.069444444445;37769.22222222222;37815.88888888889
345;2016;09;06;37254.791666666664;37377.86111111111;37782.555555555555;37875.23611111111
406;2016;09;07;37402.88888888889;37366.069444444445;37914.625;37888.97222222222
467;2016;09;08;37681.73611111111;37589.819444444445;38125.73611111111;38062.680555555555
528;2016;09;09;37870.555555555555;37801.0;38281.11111111111;38327.97222222222
589;2016;09;10;36616.84722222222;36551.444444444445;37415.23611111111;37277.34722222222
650;2016;09;11;36221.52777777778;36174.63888888889;36909.083333333336;36850.76388888889
711;2016;09;12;38019.916666666664;37943.166666666664;38473.48611111111;38513.15277777778
772;2016;09;13;38474.27777777778;38479.208333333336;38753.166666666664;38922.458333333336
833;2016;09;14;38681.11111111111;38517.38888888889;39080.416666666664;38934.375
894;2016;09;15;38779.680555555555;38772.791666666664;39153.194444444445;39256.291666666664
955;2016;09;16;38903.84722222222;38878.958333333336;39292.61111111111;39317.65277777778
1016;2016;09;17;37696.125;37603.305555555555;38411.416666666664;38293.055555555555
1077;2016;09;18;37252.11111111111;37218.166666666664;38070.98611111111;38012.63888888889
1138;2016;09;19;39632.944444444445;39548.26388888889;40057.375;40091.083333333336
1199;2016;09;20;39809.194444444445;39794.569444444445;40285.680555555555;40393.65277777778
1260;2016;09;21;40180.84722222222;40102.666666666664;40703.930555555555;40678.194444444445
1321;2016;09;22;40391.305555555555;40302.98611111111;40745.625;40815.51388888889
1382;2016;09;23;40286.51388888889;40257.680555555555;40828.51388888889;40822.38888888889
1443;2016;09;24;38850.38888888889;38874.25;39408.444444444445;39434.88888888889
1504;2016;09;25;38152.98611111111;38209.13888888889;38853.97222222222;38852.166666666664
1565;2016;09;26;40295.041666666664;40370.444444444445;40617.319444444445;40814.680555555555
1626;2016;09;27;40574.069444444445;40602.02777777778;40805.055555555555;40940.34722222222
1687;2016;09;28;40679.208333333336;40796.52777777778;40814.02777777778;41145.875
1744;2016;09;29;40851.055555555555;40856.333333333336;40964.805555555555;41151.555555555555
1799;2016;09;30;40714.430555555555;40818.22222222222;40836.930555555555;41042.180555555555
45;2016;10;01;39107.13888888889;39185.25;39442.208333333336;39460.333333333336
106;2016;10;02;38440.63888888889;38570.541666666664;38836.51388888889;39067.59722222222
167;2016;10;03;40462.40277777778;40597.27777777778;40573.11111111111;40775.555555555555
228;2016;10;04;40773.430555555555;40721.555555555555;40975.01388888889;40945.48611111111
289;2016;10;05;41022.625;41047.625;41195.0;41248.305555555555
350;2016;10;06;41333.98611111111;41334.805555555555;41512.48611111111;41525.583333333336
411;2016;10;07;41621.63888888889;41588.02777777778;41934.541666666664;41805.73611111111
472;2016;10;08;40295.72222222222;40308.72222222222;40935.63888888889;40755.958333333336
533;2016;10;09;39768.0;39826.63888888889;40500.09722222222;40416.805555555555
594;2016;10;10;42114.875;42147.0;42366.98611111111;42431.26388888889
655;2016;10;11;42466.84722222222;42495.819444444445;42672.76388888889;42730.47222222222
716;2016;10;12;42798.375;42783.75;43074.208333333336;43067.47222222222
777;2016;10;13;43419.819444444445;43284.11111111111;43648.25;43522.569444444445
838;2016;10;14;43530.11111111111;43479.305555555555;43671.625;43694.59722222222
899;2016;10;15;42227.72222222222;42268.166666666664;42777.041666666664;42810.02777777778
960;2016;10;16;41667.23611111111;41764.333333333336;42355.944444444445;42354.01388888889
1021;2016;10;17;43941.90277777778;43911.15277777778;44193.416666666664;44196.333333333336
1082;2016;10;18;44128.47222222222;44198.47222222222;44403.77777777778;44544.73611111111
1143;2016;10;19;44111.319444444445;44188.416666666664;44382.01388888889;44491.15277777778
1204;2016;10;20;44265.61111111111;44275.88888888889;44504.34722222222;44539.23611111111
1265;2016;10;21;44367.583333333336;44397.63888888889;44672.166666666664;44782.97222222222
1326;2016;10;22;43108.180555555555;43110.97222222222;43877.916666666664;43996.02777777778
1387;2016;10;23;42375.40277777778;42484.47222222222;43122.36111111111;43349.02777777778
1448;2016;10;24;44631.34722222222;44727.27777777778;44887.75;45057.069444444445
1509;2016;10;25;44988.52777777778;45158.15277777778;45235.930555555555;45437.666666666664
1570;2016;10;26;45220.98611111111;45280.958333333336;45443.0;45580.48611111111
1631;2016;10;27;45263.40277777778;45331.291666666664;45507.708333333336;45595.666666666664
1692;2016;10;28;45229.0;45311.833333333336;45433.90277777778;45562.09722222222
1749;2016;10;29;43992.48611111111;44046.055555555555;44654.52777777778;44721.5
1804;2016;10;30;43390.76388888889;43511.041666666664;44128.555555555555;44260.09722222222
1844;2016;10;31;45420.40277777778;45588.875;45685.291666666664;45874.98611111111
51;2016;11;01;45498.26388888889;45619.23611111111;45833.88888888889;46020.083333333336
112;2016;11;02;45867.65277777778;45898.09722222222;46198.63888888889;46317.65277777778
173;2016;11;03;45878.77777777778;45833.916666666664;46223.52777777778;46249.291666666664
234;2016;11;04;44146.36111111111;44179.36111111111;44902.125;44971.944444444445
295;2016;11;05;44031.291666666664;44149.375;44929.805555555555;45065.01388888889
356;2016;11;06;43931.125;43961.958333333336;44797.569444444445;44823.416666666664
417;2016;11;07;46285.90277777778;46225.25;46589.666666666664;46591.77777777778
478;2016;11;08;46033.84722222222;46115.26388888889;46328.944444444445;46381.444444444445
539;2016;11;09;46129.90277777778;46181.583333333336;46606.916666666664;46548.75
600;2016;11;10;46401.819444444445;46441.84722222222;46868.125;46900.84722222222
661;2016;11;11;46262.25;46340.694444444445;46685.291666666664;46736.833333333336
722;2016;11;12;45056.333333333336;45045.333333333336;45862.069444444445;45889.26388888889
783;2016;11;13;44589.805555555555;44703.23611111111;45411.791666666664;45565.84722222222
844;2016;11;14;47160.86111111111;47230.5;47606.40277777778;47708.541666666664
905;2016;11;15;47672.73611111111;47681.86111111111;48074.84722222222;48148.541666666664
966;2016;11;16;48149.65277777778;48160.333333333336;48622.98611111111;48561.833333333336
